surface,pos,lemma,source
ההיא,pronoun,ההוא,mila
ההם,pronoun,ההוא,mila
ההן,pronoun,ההוא,mila
היא,pronoun,הוא,mila+treebank
הם,pronoun,הוא,mila+treebank
הן,pronoun,הוא,mila+treebank
זוהי,pronoun,זהו,mila+treebank
חמשתכם,pronoun,חמישה,mila
חמשתכן,pronoun,חמישה,mila
חמשתן,pronoun,חמישה,mila
חמשתנו,pronoun,חמישה,mila
כאותה,pronoun,אותו,mila
כאותם,pronoun,אותו,mila
כאותן,pronoun,אותו,mila
כחמשתכם,pronoun,חמישה,mila
כחמשתכן,pronoun,חמישה,mila
כחמשתן,pronoun,חמישה,mila
כחמשתנו,pronoun,חמישה,mila
כעצמה,pronoun,עצמו,mila
כעצמי,pronoun,עצמו,mila
כעצמך,pronoun,עצמו,mila
כעצמכם,pronoun,עצמו,mila
כעצמכן,pronoun,עצמו,mila
כעצמם,pronoun,עצמו,mila
כעצמן,pronoun,עצמו,mila
כעשרתכם,pronoun,עשרה,mila
כעשרתכן,pronoun,עשרה,mila
כעשרתם,pronoun,עשרה,mila
כעשרתן,pronoun,עשרה,mila
כעשרתנו,pronoun,עשרה,mila
כשבעתכם,pronoun,שבעה,mila
כשבעתכן,pronoun,שבעה,mila
כשבעתם,pronoun,שבעה,mila
כשבעתן,pronoun,שבעה,mila
כשבעתנו,pronoun,שבעה,mila
כשנינו,pronoun,שניים,mila
כשתיהן,pronoun,שתיים,mila
כשתיכן,pronoun,שתיים,mila
כשתינו,pronoun,שתיים,mila
כתשעתכם,pronoun,תשעה,mila
כתשעתכן,pronoun,תשעה,mila
כתשעתם,pronoun,תשעה,mila
כתשעתן,pronoun,תשעה,mila
כתשעתנו,pronoun,תשעה,mila
לאותה,pronoun,אותו,mila
לאותם,pronoun,אותו,mila
לאותן,pronoun,אותו,mila
לחמשתכם,pronoun,חמישה,mila
לחמשתכן,pronoun,חמישה,mila
לחמשתן,pronoun,חמישה,mila
לחמשתנו,pronoun,חמישה,mila
לעצמה,pronoun,עצמו,mila
לעצמי,pronoun,עצמו,mila
לעצמך,pronoun,עצמו,mila
לעצמכם,pronoun,עצמו,mila
לעצמכן,pronoun,עצמו,mila
לעצמם,pronoun,עצמו,mila
לעצמן,pronoun,עצמו,mila
לעשרתכם,pronoun,עשרה,mila
לעשרתכן,pronoun,עשרה,mila
לעשרתם,pronoun,עשרה,mila
לעשרתן,pronoun,עשרה,mila
לעשרתנו,pronoun,עשרה,mila
